x;y;elev
676046.0829;6177200.124;90
675678.9116;6176946.213;95
675403.7854;6176446.339;100
674650.0665;6176098.315;105
673950.1158;6175877.585;110
672608.6791;6175733.555;115
672724.0096;6175725.866;115
673205.5554;6175800.124;115
672475.1244;6175736.017;120
671775.1244;6175630.72;125
671281.0599;6175419.065;130
670596.8105;6174925.124;135
670075.7423;6174599.382;140
669510.8678;6174264.257;145
669075.8199;6173924.304;150
668525.1244;6173533.78;155
668109.5768;6173165.548;160
667475.1116;6172819.843;170
666561.9502;6172675.124;175
666244.6874;6172375.124;180
