x;y;elev
689824.0025;6171136.999;40
689547.9;6170985.6;40.4
689093.3433;6170556.781;45
689156.3097;6170568.78;45
689539.9449;6170915.069;45
689031.8;6170464.3;46
688800.2;6170416.5;45.7
688645.7;6170346.2;49.5
688527.7;6169975.1;49.98
688251;6170074.1;53.1
688158;6170120;55.46
687602.6;6169828.3;55.8
687381.9;6169592.6;59.17
687077.3827;6169277.856;61
686882.2;6169254.6;61
686559.5717;6169468.628;63.01
686396.0524;6169386.869;65.22
686373.2;6169130.1;68.26
686232.5331;6168896.311;69.99
686069.0138;6168841.804;69.78
685905.4945;6168760.045;70.04
685551;6168505;70.62
685275.2;6168443.3;74.86
684945.1;6168313.4;77.53
684760.8595;6168214.98;79.42
684379.3145;6168133.221;80.2
684186.4;6168162.5;83
684079.5291;6167942.448;87
683878.7;6167812.9;87
683697.9841;6167778.929;89
683434;6167815;91
682934.8941;6167479.144;97.5
682683.1;6167423;101
682619.2;6167412.3;105.45
682035.5381;6167097.599;108.5
681708.4995;6167097.599;110.5
681657.7;6167289.3;110
681131;6167186;110
680489;6167064;113
679937.0406;6166934.079;120
679491;6167042;120
679178.1;6167080.7;122
678901.4184;6167015.839;128
