x;y;elev
701780.7;6179140.4;0.58
698246;6179264;6.69
694635.1;6179627.3;13.52
692679.8688;6178870.256;18.44
690589;6178041;25
690493.9;6178035.9;29
688829.2288;6177666.709;29
690489.798;6178039.674;29.15
687853.9464;6177570.929;35
687150.1244;6177263.04;34.42
688125.1244;6177644.778;34.28
686155.8872;6176850.124;39.16
686265.06;6176999.876;39.46
686809.7552;6177190.369;40
685366.6852;6176716.561;44
685384.3226;6176715.553;44
685529.8558;6176720.269;44
685933.896;6176709.816;41
684768;6176570;44.6
684322;6176478;45.84
684784.1827;6176501.856;50
684886.7588;6176497.661;49.36
684173.3222;6176426.802;49.44
682664.3303;6176160.794;54
682740.1547;6176140.279;54
682800.2429;6176124.882;54
681410.9654;6175985.841;60
681433.6757;6175962.5;59.36
681750.5406;6175875.416;59.36
679878.892;6176046.232;63.37
680621.4378;6176096.562;64.36
680829.8421;6176097.629;64.5
679513.9894;6176111.135;69.38
678889;6176253;70.48
678725.1244;6176282.452;74.03
677678.4941;6176778.37;79.22
677857.4527;6176749.876;79.18
676950.1244;6176918.671;84.11
676055.1891;6177200.124;89.3
675791.519;6177341.395;89.6
676501.0241;6177125.9;89.6
674514.714;6177689.59;94
675407.6399;6177342.484;94
673175.21;6177824.914;99
673201.8404;6177849.876;99
672637.0958;6177586.971;104.14
672977.7363;6177700.062;104.14
672164.5744;6177324.876;109.2
671077.2527;6177277.377;114.6
670630.8022;6177094.073;119.44
669612.9;6176060.1;125.05
669403.4102;6175500.124;129.47
665751.8713;6173699.649;154
665338.12;6173617.76;158
664802.565;6173601.517;164
664675.5288;6173606.646;169
664645.7302;6173599.27;174
664616.1488;6173591.948;179
