X_RGF93_L93;Y_RGF93_L93;T_SCI_Quat
697945.125158;6170688.820964;0.00078
700240.131282;6184174.081645;0.0034
686180.974470836;6186871.21501171;0.01
688973.155161769;6186593.114151;0.0004
688464.691730024;6186274.18955098;0.073
689562.162802737;6184421.65864517;0.014
688264.804759479;6187768.36041065;0.00043
688564.799062343;6184979.2090571;0.026
668443.396609659;6173229.27002993;0.012
668712.534123119;6174006.38637485;0.005
677248.676069311;6176080.19272837;0.014
677039.517283584;6174884.667708;0.0034
677268.920282085;6174735.28428429;0.0052
676799.728738347;6176916.92647365;0.03
677697.242161397;6176956.97356082;0.02
677816.837654108;6177285.75482222;0.004
677278.883895905;6174775.13335819;0.00033
677009.596457043;6174894.62337603;0.00022
677209.059352882;6174844.85603661;0.0079
694816.551226831;6186794.24724713;0.00045
692023.719431297;6189044.60004701;0.02
691117.236185659;6186135.55164831;0.015
691855.235406975;6185876.78788512;0.014
694348.683310208;6184453.10535527;0.018
694448.70711266;6183566.54266643;0.022
692055.193056638;6184282.98774028;0.018
691307.350161823;6184113.39596059;0.014
690958.214595958;6184481.86568509;0.018
695742.454095535;6190958.43806656;0.026
696441.387040824;6188368.73669622;0.032
696093.425176672;6185429.95770258;0.0083
701737.726734025;6184874.2202123;0.0025
701527.839739206;6186079.49848712;0.03
699433.319769441;6187224.26830177;0.015
694898.729622931;6179880.79595087;0.03
694479.810208079;6180119.73858405;0.03
695875.866284883;6180279.61671195;0.01
696144.753208744;6181305.79636915;0.04
690132.566843182;6178036.23617993;0.04
690142.20276291;6179102.1857057;0.004
690102.483240492;6178564.21880784;0.02
690660.953218983;6178504.62120881;0.015
690411.582298804;6178703.78517282;0.017
694030.676541259;6181245.287909;0.013
696144.352693743;6182431.48870371;0.0007
695486.242293469;6182291.79032987;0.01
690092.705962528;6177936.6002943;0.01
697142.371822321;6180200.37399472;0.025
698039.874536414;6180200.70181672;0.02
699835.181957194;6179404.41118519;0.036
698937.636407272;6179503.69284704;0.036
697740.777644167;6180001.35304031;0.038
700732.57115634;6179703.61806213;0.0028
701630.076012224;6179703.97008575;0.035
698039.726752804;6180599.18155493;0.011
701430.512452188;6180002.75233421;0.015
701331.144037919;6179106.12837026;0.03
699834.687203369;6180699.47528469;0.014
699884.286809741;6181376.90734074;0.018
679692.856343846;6172275.11220543;0.006
678994.608771821;6172922.51004617;0.02
679293.977671581;6172135.53924001;0.01
688073.454969649;6160700.38633515;0.000001
688143.303072378;6160590.81018253;0.0001
696779.001910486;6164638.72319965;0.042
695110.964021179;6171791.46475242;0.06
697301.521919509;6171147.05031188;0.016
696220.636879776;6164240.00144522;0.02
696649.637706977;6163831.66284548;0.009
697145.515972168;6171533.15861995;0.05
696148.139381024;6171791.82997693;0.03
693235.814898769;6172557.94338356;0.02
693425.299188247;6172558.00718784;0.019
693614.777052351;6172568.03546073;0.025
693544.89682275;6172777.22329736;0.014
690015.181679246;6170723.78371046;0.00016
696300.634932181;6163642.23893503;0.009
696320.330846344;6164349.63040137;0.024
700867.289838471;6166642.82007563;0.078
692980.157820688;6161638.4852821;0.0004
697218.557485947;6162626.32076638;0.0004
692461.071103357;6163043.13433479;0.02
697996.920908907;6161450.93589743;0.004
697927.329821152;6160843.14731449;0.0003
672243;6176534;0.028
674173;6176267;0.064
673451;6176788;0.047
676389;6176117;0.014
698131;6183951;0.017
666377;6172878;0.08
699521;6168884;0.012
697368;6166338;0.042
697408;6166348;0.028
699451;6168874;0.03
699533;6168782;0.025
691903;6162089;0.015
691695;6162052;0.015
692031;6162487;0.0364
683808;6176819;0.012
691995;6186473;0.0019
683028.922902;6156283.010579;0.0035
687488;6159089;0.004555
687356;6178582;0.00709
702505;6188981;0.01
685141;6157356;0.012
683808;6176819;0.012
697235.89756;6171155.122965;0.0165333333333333
676246;6176280;0.018
693353.406603;6172618.078866;0.019
685141;6157356;0.01926
693163.209194;6172619.618053;0.0205
677145.618247;6176293.935188;0.022
678447.195182;6175091.982662;0.03267
684985;6157848;0.04
684985;6157848;0.04114
691695;6162052;0.045
691903;6162089;0.05
698678.652171;6165086.641718;0.0575
695038.932002;6171833.595864;0.077
687457.464305;6159140.410722;0.268
697123.5;6165988.9;0.07
699406.6;6168769.1;0.01943
698815.2;6179243;0.122
700091.1;6179119.3;0.071
697837.2;6184124.4;0.0712
700415.605;6162823.791;0.0411
668308;6173439;0.0456666666666667
