Code national BSS	Code côte chronique	Côte chronique définie pour le point d'eau	Date de la mesure	Côte NGF	Profondeur relative/repère de mesure	Code continuité	Continuité	Code mode obtention	Mode obtention	Code qualification	Qualification de la mesure	Code statut de la mesure	Statut de la mesure	Code nature de la mesure	Nature de la mesure	Profondeur début site de mesure	Profondeur fin site de mesure	X_WGS84	Y_WGS84	Producteur de données
10906X0061/BOIS	2	Profondeur relative	14/07/2014 00:04	105.44	5.24	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.664124518	42.69768573	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10906X0061/BOIS	2	Profondeur relative	15/07/2014 00:04	105.43	5.25	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.664124518	42.69768573	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10906X0061/BOIS	2	Profondeur relative	16/07/2014 00:04	105.41	5.27	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.664124518	42.69768573	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10906X0061/BOIS	2	Profondeur relative	17/07/2014 00:08	105.36	5.32	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.664124518	42.69768573	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10906X0061/BOIS	2	Profondeur relative	18/07/2014 23:08	105.33	5.35	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.664124518	42.69768573	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10906X0061/BOIS	2	Profondeur relative	19/07/2014 20:53	105.36	5.32	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.664124518	42.69768573	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10906X0061/BOIS	2	Profondeur relative	20/07/2014 21:08	105.36	5.32	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.664124518	42.69768573	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10906X0061/BOIS	2	Profondeur relative	21/07/2014 07:38	105.36	5.32	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.664124518	42.69768573	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10906X0061/BOIS	2	Profondeur relative	22/07/2014 00:08	105.31	5.37	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.664124518	42.69768573	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10906X0061/BOIS	2	Profondeur relative	23/07/2014 04:23	105.29	5.39	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.664124518	42.69768573	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10906X0061/BOIS	2	Profondeur relative	24/07/2014 02:38	105.27	5.41	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.664124518	42.69768573	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10906X0061/BOIS	2	Profondeur relative	25/07/2014 23:53	105.28	5.4	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.664124518	42.69768573	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10906X0061/BOIS	2	Profondeur relative	26/07/2014 23:53	105.32	5.36	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.664124518	42.69768573	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10906X0061/BOIS	2	Profondeur relative	27/07/2014 18:08	105.34	5.34	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.664124518	42.69768573	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10906X0061/BOIS	2	Profondeur relative	28/07/2014 08:53	105.35	5.33	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.664124518	42.69768573	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10906X0061/BOIS	2	Profondeur relative	29/07/2014 21:47	105.31	5.37	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.664124518	42.69768573	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10906X0061/BOIS	2	Profondeur relative	30/07/2014 23:17	105.37	5.31	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.664124518	42.69768573	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10906X0061/BOIS	2	Profondeur relative	31/07/2014 22:17	105.4	5.28	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.664124518	42.69768573	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10906X0061/BOIS	2	Profondeur relative	01/08/2014 21:17	105.43	5.25	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.664124518	42.69768573	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10906X0061/BOIS	2	Profondeur relative	02/08/2014 20:47	105.46	5.22	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.664124518	42.69768573	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10906X0061/BOIS	2	Profondeur relative	03/08/2014 18:17	105.49	5.19	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.664124518	42.69768573	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10906X0061/BOIS	2	Profondeur relative	04/08/2014 00:17	105.49	5.19	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.664124518	42.69768573	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10906X0061/BOIS	2	Profondeur relative	05/08/2014 23:47	105.51	5.17	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.664124518	42.69768573	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10906X0061/BOIS	2	Profondeur relative	06/08/2014 22:17	105.52	5.16	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.664124518	42.69768573	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10906X0061/BOIS	2	Profondeur relative	07/08/2014 08:47	105.52	5.16	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.664124518	42.69768573	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10906X0061/BOIS	2	Profondeur relative	08/08/2014 01:47	105.51	5.17	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.664124518	42.69768573	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10906X0061/BOIS	2	Profondeur relative	09/08/2014 00:17	105.49	5.19	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.664124518	42.69768573	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10906X0061/BOIS	2	Profondeur relative	10/08/2014 00:17	105.46	5.22	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.664124518	42.69768573	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10906X0061/BOIS	2	Profondeur relative	11/08/2014 00:17	105.44	5.24	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.664124518	42.69768573	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10906X0061/BOIS	2	Profondeur relative	12/08/2014 00:17	105.43	5.25	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.664124518	42.69768573	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10906X0061/BOIS	2	Profondeur relative	13/08/2014 06:47	105.42	5.26	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.664124518	42.69768573	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10906X0061/BOIS	2	Profondeur relative	14/08/2014 08:47	105.42	5.26	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.664124518	42.69768573	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
