Code national BSS|Code côte chronique|Côte chronique définie pour le point d'eau|Date de la mesure|Profondeur relative/repère de mesure|Côte NGF|Code continuité|Continuité|Code mode obtention|Mode obtention|Code qualification|Qualification de la mesure|Code statut de la mesure|Statut de la mesure|Code nature de la mesure|Nature de la mesure|Profondeur début site de mesure|Profondeur fin site de mesure|X_WGS84|Y_WGS84|Producteur de données|
10907X0129/CONTE|2|Profondeur relative|15/12/1999 00:00:00|13.13|94.06|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|17/01/2000 00:00:00|13.58|93.61|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|18/01/2000 00:00:00|13.58|93.61|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|19/01/2000 00:00:00|13.59|93.60|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|20/01/2000 00:00:00|13.61|93.58|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|21/01/2000 00:00:00|13.61|93.58|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|22/01/2000 00:00:00|13.61|93.58|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|23/01/2000 00:00:00|13.61|93.58|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|24/01/2000 00:00:00|13.61|93.58|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|25/01/2000 00:00:00|13.62|93.57|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|26/01/2000 00:00:00|13.63|93.56|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|27/01/2000 00:00:00|13.65|93.54|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|28/01/2000 00:00:00|13.66|93.53|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|29/01/2000 00:00:00|13.66|93.53|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|30/01/2000 00:00:00|13.67|93.52|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|31/01/2000 00:00:00|13.69|93.50|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|01/02/2000 00:00:00|13.70|93.49|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|02/02/2000 00:00:00|13.70|93.49|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|03/02/2000 00:00:00|13.72|93.47|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|04/02/2000 00:00:00|13.74|93.45|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|05/02/2000 00:00:00|13.75|93.44|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|06/02/2000 00:00:00|13.75|93.44|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|07/02/2000 00:00:00|13.77|93.42|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|08/02/2000 00:00:00|13.78|93.41|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|09/02/2000 00:00:00|13.81|93.38|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|10/02/2000 00:00:00|13.82|93.37|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|11/02/2000 00:00:00|13.83|93.36|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|12/02/2000 00:00:00|13.85|93.34|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|13/02/2000 00:00:00|13.87|93.32|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|14/02/2000 00:00:00|13.87|93.32|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|15/02/2000 00:00:00|13.89|93.30|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|16/02/2000 00:00:00|13.89|93.30|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|17/02/2000 00:00:00|13.89|93.30|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|18/02/2000 00:00:00|13.90|93.29|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|19/02/2000 00:00:00|13.92|93.27|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|20/02/2000 00:00:00|13.95|93.24|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|21/02/2000 00:00:00|13.98|93.21|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|22/02/2000 00:00:00|13.99|93.20|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|23/02/2000 00:00:00|14.00|93.19|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|24/02/2000 00:00:00|14.02|93.17|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
10907X0129/CONTE|2|Profondeur relative|25/02/2000 00:00:00|14.03|93.16|2|Point courant|1|Valeur mesurée|1|Correcte|2|NV1|||||2.72139001783474|42.6738777070185|Chargement par transfert de la Banque du Sous-Sol (BRGM)|
