Code national BSS|Code côte chronique|Côte chronique définie pour le point d'eau|Date de la mesure|Profondeur relative/repère de mesure|Côte NGF|Code continuité|Continuité|Code mode obtention|Mode obtention|Code qualification|Qualification de la mesure|Code statut de la mesure|Statut de la mesure|Code nature de la mesure|Nature de la mesure|Profondeur début site de mesure|Profondeur fin site de mesure|X_WGS84|Y_WGS84|Producteur de données|
10908X0394/RIBERA|2|Profondeur relative|08/07/2014 21:38:00|3.54|57.46|2|Point courant|1|Valeur mesurée|1|Correcte|3|NV2|N|Naturel|||2.79013459023056|42.6853737055128|Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon|
10908X0394/RIBERA|2|Profondeur relative|09/07/2014 20:38:00|3.45|57.55|2|Point courant|1|Valeur mesurée|1|Correcte|3|NV2|N|Naturel|||2.79013459023056|42.6853737055128|Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon|
10908X0394/RIBERA|2|Profondeur relative|10/07/2014 00:08:00|3.47|57.53|2|Point courant|1|Valeur mesurée|1|Correcte|3|NV2|N|Naturel|||2.79013459023056|42.6853737055128|Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon|
10908X0394/RIBERA|2|Profondeur relative|11/07/2014 13:50:00|3.55|57.45|2|Point courant|1|Valeur mesurée|1|Correcte|3|NV2|N|Naturel|||2.79013459023056|42.6853737055128|Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon|
10908X0394/RIBERA|2|Profondeur relative|12/07/2014 09:50:00|3.50|57.50|2|Point courant|1|Valeur mesurée|1|Correcte|3|NV2|N|Naturel|||2.79013459023056|42.6853737055128|Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon|
10908X0394/RIBERA|2|Profondeur relative|13/07/2014 10:50:00|3.48|57.52|2|Point courant|1|Valeur mesurée|1|Correcte|3|NV2|N|Naturel|||2.79013459023056|42.6853737055128|Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon|
10908X0394/RIBERA|2|Profondeur relative|14/07/2014 21:50:00|3.45|57.55|2|Point courant|1|Valeur mesurée|1|Correcte|3|NV2|N|Naturel|||2.79013459023056|42.6853737055128|Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon|
10908X0394/RIBERA|2|Profondeur relative|15/07/2014 09:50:00|3.43|57.57|2|Point courant|1|Valeur mesurée|1|Correcte|3|NV2|N|Naturel|||2.79013459023056|42.6853737055128|Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon|
10908X0394/RIBERA|2|Profondeur relative|16/07/2014 09:50:00|3.42|57.58|2|Point courant|1|Valeur mesurée|1|Correcte|3|NV2|N|Naturel|||2.79013459023056|42.6853737055128|Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon|
10908X0394/RIBERA|2|Profondeur relative|17/07/2014 09:50:00|3.46|57.54|2|Point courant|1|Valeur mesurée|1|Correcte|3|NV2|N|Naturel|||2.79013459023056|42.6853737055128|Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon|
10908X0394/RIBERA|2|Profondeur relative|18/07/2014 08:50:00|3.54|57.46|2|Point courant|1|Valeur mesurée|1|Correcte|3|NV2|N|Naturel|||2.79013459023056|42.6853737055128|Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon|
10908X0394/RIBERA|2|Profondeur relative|19/07/2014 22:50:00|3.49|57.51|2|Point courant|1|Valeur mesurée|1|Correcte|3|NV2|N|Naturel|||2.79013459023056|42.6853737055128|Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon|
10908X0394/RIBERA|2|Profondeur relative|20/07/2014 22:50:00|3.43|57.57|2|Point courant|1|Valeur mesurée|1|Correcte|3|NV2|N|Naturel|||2.79013459023056|42.6853737055128|Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon|
10908X0394/RIBERA|2|Profondeur relative|21/07/2014 07:50:00|3.41|57.59|2|Point courant|1|Valeur mesurée|1|Correcte|3|NV2|N|Naturel|||2.79013459023056|42.6853737055128|Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon|
10908X0394/RIBERA|2|Profondeur relative|22/07/2014 09:50:00|3.40|57.60|2|Point courant|1|Valeur mesurée|1|Correcte|3|NV2|N|Naturel|||2.79013459023056|42.6853737055128|Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon|
10908X0394/RIBERA|2|Profondeur relative|23/07/2014 09:50:00|3.44|57.56|2|Point courant|1|Valeur mesurée|1|Correcte|3|NV2|N|Naturel|||2.79013459023056|42.6853737055128|Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon|
10908X0394/RIBERA|2|Profondeur relative|24/07/2014 09:50:00|3.48|57.52|2|Point courant|1|Valeur mesurée|1|Correcte|3|NV2|N|Naturel|||2.79013459023056|42.6853737055128|Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon|
10908X0394/RIBERA|2|Profondeur relative|25/07/2014 21:50:00|3.46|57.54|2|Point courant|1|Valeur mesurée|1|Correcte|3|NV2|N|Naturel|||2.79013459023056|42.6853737055128|Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon|
10908X0394/RIBERA|2|Profondeur relative|26/07/2014 08:50:00|3.43|57.57|2|Point courant|1|Valeur mesurée|1|Correcte|3|NV2|N|Naturel|||2.79013459023056|42.6853737055128|Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon|
10908X0394/RIBERA|2|Profondeur relative|27/07/2014 08:50:00|3.47|57.53|2|Point courant|1|Valeur mesurée|1|Correcte|3|NV2|N|Naturel|||2.79013459023056|42.6853737055128|Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon|
10908X0394/RIBERA|2|Profondeur relative|28/07/2014 22:50:00|3.48|57.52|2|Point courant|1|Valeur mesurée|1|Correcte|3|NV2|N|Naturel|||2.79013459023056|42.6853737055128|Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon|
10908X0394/RIBERA|2|Profondeur relative|29/07/2014 23:50:00|3.43|57.57|2|Point courant|1|Valeur mesurée|1|Correcte|3|NV2|N|Naturel|||2.79013459023056|42.6853737055128|Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon|
10908X0394/RIBERA|2|Profondeur relative|30/07/2014 07:50:00|3.41|57.59|2|Point courant|1|Valeur mesurée|1|Correcte|3|NV2|N|Naturel|||2.79013459023056|42.6853737055128|Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon|
10908X0394/RIBERA|2|Profondeur relative|31/07/2014 08:50:00|3.46|57.54|2|Point courant|1|Valeur mesurée|1|Correcte|3|NV2|N|Naturel|||2.79013459023056|42.6853737055128|Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon|
10908X0394/RIBERA|2|Profondeur relative|01/08/2014 23:50:00|3.44|57.56|2|Point courant|1|Valeur mesurée|1|Correcte|3|NV2|N|Naturel|||2.79013459023056|42.6853737055128|Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon|
