Code national BSS	Code côte chronique	Côte chronique définie pour le point d'eau	Date de la mesure	Profondeur relative/repère de mesure	Côte NGF	Code continuité	Continuité	Code mode obtention	Mode obtention	Code qualification	Qualification de la mesure	Code statut de la mesure	Statut de la mesure	Code nature de la mesure	Nature de la mesure	Profondeur début site de mesure	Profondeur fin site de mesure	X_WGS84	Y_WGS84	Producteur de données
10962X0075/PZ	2	Profondeur relative	04/04/2016 16:00	8.55	137.2	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.681799847	42.65957309	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10962X0075/PZ	2	Profondeur relative	05/04/2016 00:00	8.53	137.22	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.681799847	42.65957309	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10962X0075/PZ	2	Profondeur relative	06/04/2016 23:00	8.55	137.2	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.681799847	42.65957309	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10962X0075/PZ	2	Profondeur relative	07/04/2016 23:00	8.68	137.07	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.681799847	42.65957309	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10962X0075/PZ	2	Profondeur relative	08/04/2016 23:00	9.14	136.61	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.681799847	42.65957309	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10962X0075/PZ	2	Profondeur relative	09/04/2016 23:00	10.28	135.47	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.681799847	42.65957309	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10962X0075/PZ	2	Profondeur relative	10/04/2016 23:00	11.72	134.03	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.681799847	42.65957309	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10962X0075/PZ	2	Profondeur relative	11/04/2016 23:00	12.23	133.52	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.681799847	42.65957309	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10962X0075/PZ	2	Profondeur relative	12/04/2016 13:00	12.44	133.31	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.681799847	42.65957309	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10962X0075/PZ	2	Profondeur relative	13/04/2016 00:00	11.9	133.85	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.681799847	42.65957309	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10962X0075/PZ	2	Profondeur relative	14/04/2016 00:00	9.2	136.55	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.681799847	42.65957309	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10962X0075/PZ	2	Profondeur relative	15/04/2016 21:00	9	136.75	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.681799847	42.65957309	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
