Code national BSS	Code côte chronique	Côte chronique définie pour le point d'eau	Date de la mesure	Côte NGF	Profondeur relative/repère de mesure	Code continuité	Continuité	Code mode obtention	Mode obtention	Code qualification	Qualification de la mesure	Code statut de la mesure	Statut de la mesure	Code nature de la mesure	Nature de la mesure	Profondeur début site de mesure	Profondeur fin site de mesure	X_WGS84	Y_WGS84	Producteur de données
10963X0059/MEDALU	2	Profondeur relative	20/02/1992 00:00	110.19	45.53	1	Point initial	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	25/02/1992 00:00	110.32	45.4	1	Point initial	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	26/02/1992 00:00	110.16	45.56	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	27/02/1992 00:00	110.17	45.55	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	04/03/1992 00:00	110.43	45.29	1	Point initial	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	10/03/1992 00:00	110.5	45.22	1	Point initial	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	17/03/1992 00:00	110.7	45.02	1	Point initial	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	20/03/1992 00:00	110.73	44.99	1	Point initial	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	29/03/1992 00:00	110.87	44.85	1	Point initial	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	07/04/1992 00:00	111.08	44.64	1	Point initial	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	08/04/1992 00:00	111.05	44.67	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	14/04/1992 00:00	110.97	44.75	1	Point initial	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	17/04/1992 00:00	110.97	44.75	1	Point initial	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	27/04/1992 00:00	111.14	44.58	1	Point initial	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	11/05/1992 00:00	111.26	44.46	1	Point initial	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	17/05/1992 00:00	111.36	44.36	1	Point initial	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	19/05/1992 00:00	111.38	44.34	1	Point initial	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	21/05/1992 00:00	111.38	44.34	1	Point initial	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	25/05/1992 00:00	111.34	44.38	1	Point initial	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	01/06/1992 00:00	111.46	44.26	1	Point initial	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	03/06/1992 00:00	111.44	44.28	1	Point initial	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	04/06/1992 00:00	111.48	44.24	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	05/06/1992 00:00	111.4	44.32	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	06/06/1992 00:00	111.55	44.17	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	13/06/1992 00:00	111.47	44.25	1	Point initial	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	19/06/1992 00:00	111.57	44.15	1	Point initial	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	23/06/1992 00:00	111.66	44.06	1	Point initial	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	24/06/1992 00:00	111.63	44.09	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	06/07/1992 00:00	111.87	43.85	1	Point initial	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	28/07/1992 00:00	111.79	43.93	1	Point initial	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	29/07/1992 00:00	111.85	43.87	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	30/07/1992 00:00	111.84	43.88	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	31/07/1992 00:00	111.75	43.97	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	10/08/1992 00:00	111.67	44.05	1	Point initial	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	20/08/1992 00:00	111.59	44.13	1	Point initial	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	30/08/1992 00:00	111.54	44.18	1	Point initial	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	07/09/1992 00:00	111.62	44.1	1	Point initial	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	12/09/1992 00:00	111.55	44.17	1	Point initial	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	14/09/1992 00:00	111.62	44.1	1	Point initial	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	15/09/1992 00:00	111.65	44.07	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	16/09/1992 00:00	111.57	44.15	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	17/09/1992 00:00	111.57	44.15	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	18/09/1992 00:00	111.6	44.12	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	19/09/1992 00:00	111.6	44.12	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	20/09/1992 00:00	111.59	44.13	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	21/09/1992 00:00	111.58	44.14	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	01/10/1992 00:00	111.46	44.26	1	Point initial	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	10/10/1992 00:00	111.61	44.11	1	Point initial	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	16/10/1992 00:00	111.77	43.95	1	Point initial	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	17/10/1992 00:00	111.76	43.96	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	18/10/1992 00:00	111.75	43.97	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	19/10/1992 00:00	111.75	43.97	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	20/10/1992 00:00	111.75	43.97	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	21/10/1992 00:00	111.71	44.01	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	22/10/1992 00:00	111.71	44.01	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	23/10/1992 00:00	111.73	43.99	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	24/10/1992 00:00	111.74	43.98	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	25/10/1992 00:00	111.74	43.98	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	26/10/1992 00:00	111.74	43.98	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	27/10/1992 00:00	111.8	43.92	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	28/10/1992 00:00	111.88	43.84	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	29/10/1992 00:00	111.89	43.83	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	30/10/1992 00:00	111.92	43.8	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	31/10/1992 00:00	111.92	43.8	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	01/11/1992 00:00	111.87	43.85	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	02/11/1992 00:00	111.79	43.93	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	03/11/1992 00:00	111.8	43.92	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	04/11/1992 00:00	111.74	43.98	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	05/11/1992 00:00	111.76	43.96	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	06/11/1992 00:00	111.76	43.96	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	07/11/1992 00:00	111.8	43.92	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	08/11/1992 00:00	111.81	43.91	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	09/11/1992 00:00	111.87	43.85	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	10/11/1992 00:00	111.88	43.84	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	11/11/1992 00:00	111.91	43.81	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	12/11/1992 00:00	111.91	43.81	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	13/11/1992 00:00	112	43.72	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	14/11/1992 00:00	111.99	43.73	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	15/11/1992 00:00	112.07	43.65	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	16/11/1992 00:00	112.07	43.65	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	17/11/1992 00:00	111.91	43.81	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	18/11/1992 00:00	111.91	43.81	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	19/11/1992 00:00	111.89	43.83	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	30/11/1992 00:00	111.97	43.75	1	Point initial	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
