x;y;NP_Aout2012;NP_Avril2013;AquifèreCapté
698566.98;6171098.24;2.19;;Pliocène
690380.55;6168505.77;25.2;26.75;Pliocène
691414.8;6165344.2;27.62;28.15;Pliocène
684814.67;6182554.08;35.67;45.34;Pliocène
684561.2;6183517.83;64.43;64.23;Pliocène
665108.37;6172560.08;178.64;179.61;Pliocène
699943.39;6177627.02;1.4;2.9;Pliocène
677483;6177872;81.28;82.87;Pliocène
686198.6;6186092.11;28.71;30.67;Pliocène
668365.32;6174546.58;141.01;142.39;Pliocène
682915.08;6173776.71;65.61;69.69;Pliocène
673012.17;6176792.33;107.74;108.45;Pliocène
671397.95;6176730.3;115.86;116.43;Pliocène
691951.65;6178013.51;16.08;16.7;Pliocène
687711.28;6183615.62;23.23;27.9;Pliocène
682274.97;6177140.75;58.03;59.79;Pliocène
692371.28;6188122.65;8.09;12.22;Pliocène
677151.67;6174943.43;88.93;93.21;Pliocène
677294.06;6174123.19;98.36;99.2;Pliocène
698872.83;6173160.34;1.23;3.72;Pliocène
695297.67;6173283.18;6.81;9.27;Pliocène
693021.08;6192183.34;;9.85;Pliocène
689665.14;6190190.5;11.22;27.28;Pliocène
677705.32;6171742.6;102.45;101.07;Pliocène
682336.5;6172624.83;75.53;76.13;Pliocène
685643.19;6166502.33;71.72;79.97;Pliocène
686773.3;6165358.67;64.48;64.82;Pliocène
692905.08;6170692.64;7.18;12.34;Pliocène
700118.3;6186542;-3.03;;Pliocène
698812.05;6164927.28;7.35;8.48;Pliocène
703115.35;6187644.92;0.06;1.66;Pliocène
702558.26;6190642.83;1.55;;Pliocène
703115.48;6178696.05;0.42;1.5;Pliocène
694822.09;6168744.97;6.38;10.71;Pliocène
701574.48;6171248.66;0.84;2.01;Pliocène
674192.09;6176305.48;101.38;102.33;Pliocène
687191.18;6169937.37;54.69;55.56;Pliocène
690818.55;6191375.71;21.29;25.1;Pliocène
686748.68;6176187.88;45.91;48.99;Pliocène
692876.59;6182040.93;8.26;10.4;Pliocène
694009.87;6163058.96;21.58;24.66;Pliocène
700129.2;6186547.71;-0.27;2.35;Pliocène
679739.76;6167578.36;105.15;104.87;Pliocène
701807.83;6184866.62;1.31;2.9;Pliocène
702061.15;6181983.07;-0.68;0.51;Pliocène
697803.2;6187409;-3.41;;Pliocène
696984.253;6186479.442;-16.62;;Pliocène
695984.07;6186659.17;2.12;3.8;Pliocène
694239.02;6188439.9;5.9;6.48;Pliocène
693442.73;6188243.81;5.1;5.45;Pliocène
702474.18;6188630.2;-1.87;1.32;Pliocène
692986.69;6188391.09;5.68;5.92;Pliocène
692350.81;6188130.46;6.77;;Pliocène
696277.24;6194994.19;1.13;;Pliocène
699075.32;6182646.44;1.9;3.37;Pliocène
703112.4;6187668.05;-1.08;0.97;Pliocène
694893.98;6180113.38;10.9;11.8;Pliocène
703112.4;6187668.05;-1.08;0.97;Pliocène
694893.98;6180113.38;10.9;11.8;Pliocène
677483;6177872;81.28;82.87;Pliocène
687711.28;6183615.62;23.23;27.9;Pliocène
695297.67;6173283.18;6.81;9.27;Pliocène
692905.08;6170692.64;7.18;12.34;Pliocène
700118.3;6186542;-3.03;;Pliocène
697803.2;6187409;-3.41;;Pliocène
696984.253;6186479.442;-16.62;;Pliocène
684814.67;6182554.08;35.67;45.34;Pliocène
677151.67;6174943.43;88.93;93.21;Pliocène
691951.65;6178013.51;16.08;16.7;Pliocène
682274.97;6177140.75;58.03;59.79;Pliocène
699943.39;6177627.02;1.4;2.9;Pliocène
673012.17;6176792.33;107.74;108.45;Pliocène
702474.18;6188630.2;-1.87;1.32;Pliocène
682915.08;6173776.71;65.61;69.69;Pliocène
693021.08;6192183.34;;9.85;Pliocène
685643.19;6166502.33;71.72;79.97;Pliocène
694239.02;6188439.9;5.9;6.48;Pliocène
693442.73;6188243.81;5.1;5.45;Pliocène
690380.55;6168505.77;25.2;26.75;Pliocène
691414.8;6165344.2;27.62;28.15;Pliocène
671397.95;6176730.3;115.86;116.43;Pliocène
689665.14;6190190.5;11.22;27.28;Pliocène
677705.32;6171742.6;102.45;101.07;Pliocène
682336.5;6172624.83;75.53;76.13;Pliocène
692986.69;6188391.09;5.68;5.92;Pliocène
699075.32;6182646.44;1.9;3.37;Pliocène
692371.28;6188122.65;8.09;12.22;Pliocène
695984.07;6186659.17;2.12;3.8;Pliocène
